Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
MAISONS DU MONDE,FR0013153541,MDM,Euronext Paris,EUR,17.23,17.36,16.75,16.84,20/05/2022 17:35,CET,72640,1230293.45
MAJOREL GROUP LUX,LU2382956378,MAJ,Euronext Amsterdam,EUR,26.70,27.15,26.10,26.10,20/05/2022 17:35,CET,10078,267113.50
MAKHEIA GROUP,FR0000072993,ALMAK,Euronext Growth Paris,EUR,0.124,0.1292,0.1226,0.1254,20/05/2022 17:35,CET,466889,58761.40
MAKING SCIENCE,ES0105463006,ALMKS,Euronext Growth Paris,EUR,20.30,20.30,20.30,20.30,20/05/2022 11:30,CET,1,20.30
MALIN CORP. PLC,IE00BVGC3741,MLC,Euronext Growth Dublin,EUR,4.45,4.50,4.45,4.50,19/05/2022 21:00,IST,138,615.35
MALTERIES FCO-BEL.,FR0000030074,MALT,Euronext Paris,EUR,500.00,505.00,500.00,505.00,20/05/2022 17:29,CET,72,36155.00
MANITOU BF,FR0000038606,MTU,Euronext Paris,EUR,20.10,20.65,20.05,20.20,20/05/2022 17:35,CET,21497,438321.85
MANUTAN INTL,FR0000032302,MAN,Euronext Paris,EUR,73.20,73.20,67.00,71.00,20/05/2022 17:35,CET,974,67674.60
MAQ ADMON. URBANAS,ES0105447009,MLMAQ,Euronext Access Paris,EUR,8.30,8.30,8.30,8.30,27/01/2020 11:30,CET,1,8.30
MARATHON OIL CORP,US5658491064,MROIL,Traded not listed Brussels,USD,16.00,16.00,16.00,16.00,12/10/2021 09:08,CET,265,4240.00
MARE NOSTRUM,FR0013400835,ALMAR,Euronext Growth Paris,EUR,2.99,2.99,2.98,2.98,20/05/2022 09:31,CET,11,32.79
MAREL,IS0000000388,MAREL,Euronext Amsterdam,EUR,4.39,4.58,4.35,4.58,20/05/2022 17:35,CET,28869,129139.10
MAROC TELECOM,MA0000011488,IAM,Euronext Paris,EUR,12.50,12.50,12.15,12.15,20/05/2022 17:13,CET,262,3191.80
MARTIFER,PTMFR0AM0003,MAR,Euronext Lisbon,EUR,1.33,1.34,1.28,1.33,20/05/2022 21:35,BST,44138,58457.32
MASTRAD,FR0004155687,ALMAS,Euronext Growth Paris,EUR,0.1932,0.1932,0.186,0.1932,20/05/2022 17:35,CET,4856,915.81
